journal,title,doi,year,repo_urls
Nature,Liver X receptor unlinks intestinal regeneration and tumorigenesis,10.1038/s41586-024-08247-6,2024,https://github.com/Ajaxels/MIB
Nature,Spatial dynamics of brain development and neuroinflammation,10.1038/s41586-025-09663-y,2025,https://github.com/di-0579/spatial_tri-omics
Nature,MAPK-driven epithelial cell plasticity drives colorectal cancer therapeutic resistance,10.1038/s41586-025-09916-w,2025,https://github.com/dcjones/proseg
Nature,De novo design of protein structure and function with RFdiffusion,10.1038/s41586-023-06415-8,2023,https://github.com/RosettaCommons/RFdiffusion
Nature,The global human impact on biodiversity,10.1038/s41586-025-08752-2,2025,https://github.com/fkeck/metabeta
Nature,Spike deep mutational scanning helps predict success of SARS-CoV-2 clades,10.1038/s41586-024-07636-1,2024,https://github.com/neherlab/SARS-CoV-2_variant-reports
Nature,Flexible perceptual encoding by discrete gamma events,10.1038/s41586-025-09604-9,2025,https://github.com/cardin-higley-lab/CBASS; https://github.com/cortex-lab/phy
Nature,AIRE relies on Z-DNA to flag gene targets for thymic T cell tolerization,10.1038/s41586-024-07169-7,2024,https://github.com/dmichelson/mimetic_cells
Nature,Consistent patterns of common species across tropical tree communities,10.1038/s41586-023-06820-z,2024,https://github.com/declancooper/CommonSpecies2022
Nature,Multimodal cell maps as a foundation for structural and functional genomics,10.1038/s41586-025-08878-3,2025,https://github.com/YoshitakaMo/localcolabfold; https://github.com/eliorc/node2vec; https://github.com/fanzheng10/HiDeF; https://github.com/fanzheng10/HiSig; https://github.com/fosterlab/PrInCE; https://github.com/idekerlab/cellmaps_pipeline
Nature,Integrator dynamics in the cortico-basal ganglia loop for flexible motor timing,10.1038/s41586-025-09778-2,2025,https://github.com/JaneliaSciComp/JRCLUST; https://github.com/inagaki-lab/Yang_et_al_2024
Nature,Long-molecule scars of backup DNA repair in BRCA1- and BRCA2-deficient cancers,10.1038/s41586-023-06461-2,2023,https://github.com/kevinmhadi/khtools; https://github.com/lh3/CHM-eval; https://github.com/mskilab-org/GxG; https://github.com/mskilab-org/JaBbA; https://github.com/mskilab-org/fragCounter; https://github.com/mskilab-org/gGnome; https://github.com/mskilab-org/gTrack; https://github.com/mskilab-org/jabba; https://github.com/mskilab-org/skitools; https://github.com/mskilab/setton_hadi_choo_2023; https://github.com/vibansal/HapCUT2
Nature,A cryptic role for reciprocal helping in a cooperatively breeding bird,10.1038/s41586-025-08958-4,2025,https://github.com/AlexisDEarl/reciprocity_and_nepotism_in_superb_starlings
Nature,Structural basis of sensory receptor evolution in octopus,10.1038/s41586-023-05822-1,2023,https://github.com/schrodinger/pymol-open-source
Nature,Multi-timescale reinforcement learning in the brain,10.1038/s41586-025-08929-9,2025,https://github.com/pablotano8/multi_timescale_RL
Nature,Leveraging a phased pangenome for haplotype design of hybrid potato,10.1038/s41586-024-08476-9,2025,https://github.com/Chenglin20170390/Haplotype-diversity; https://github.com/Gaius-Augustus/Augustus; https://github.com/PacificBiosciences/ccs; https://github.com/chhylp123/hifiasm; https://github.com/lh3/srf; https://github.com/marbl/meryl; https://github.com/mrvollger/SafFire; https://github.com/nanjiangshu/my_needle; https://github.com/sanger-pathogens/assembly-stats; https://github.com/tangerzhang/calc_switchErr
Nature,Heritable polygenic editing: the next frontier in genomic medicine?,10.1038/s41586-024-08300-4,2025,https://github.com/loic-yengo/Code_for_GeneEditing_Paper_Visscher_et_al_2024
Nature,WNT signalling control by KDM5C during development affects cognition,10.1038/s41586-024-07067-y,2024,https://github.com/Boyle-Lab/Blacklist
